2025-28-3--00-22-55, 1050.53, 976.19, 1031.92, 1056.41, 1057.16, 1050.53, 
2025-28-3--00-22-55, 1148.50, 1010.66, 1078.55, 1111.66, 1130.24, 1148.50, 
2025-28-3--00-22-55, 1070.78, 1022.68, 1075.44, 1087.13, 1082.67, 1070.78, 
2025-28-3--00-22-55, 236.77, 865.50, 739.97, 576.92, 405.95, 236.77, 
2025-28-3--00-22-56, 686.81, 829.76, 718.71, 642.85, 630.64, 686.81, 
2025-28-3--00-22-56, 813.80, 826.57, 756.74, 745.42, 777.17, 813.80, 
2025-28-3--00-22-56, 693.53, 799.96, 731.46, 714.29, 710.26, 693.53, 
2025-28-3--00-22-56, 800.64, 800.10, 759.13, 766.10, 782.56, 800.64, 
2025-28-3--00-22-56, 1097.70, 859.62, 894.56, 965.06, 1034.67, 1097.70, 
2025-28-3--00-22-56, 717.41, 831.18, 823.70, 816.47, 780.86, 717.41, 
2025-28-3--00-22-56, 209.27, 706.79, 577.93, 452.15, 323.59, 209.27, 
2025-28-3--00-22-56, 596.52, 684.74, 585.36, 538.77, 541.93, 596.52, 
2025-28-3--00-22-56, 1039.39, 755.67, 766.97, 839.14, 939.90, 1039.39, 
2025-28-3--00-22-56, 1030.40, 810.61, 872.34, 953.89, 1012.30, 1030.40, 
2025-28-3--00-22-57, 1057.97, 860.09, 946.60, 1016.34, 1048.84, 1057.97, 
2025-28-3--00-22-57, 1038.31, 895.73, 983.28, 1029.52, 1040.42, 1038.31, 
2025-28-3--00-22-57, 1086.13, 933.81, 1024.42, 1063.49, 1076.99, 1086.13, 
2025-28-3--00-22-57, 1042.86, 955.62, 1031.80, 1051.11, 1049.69, 1042.86, 
2025-28-3--00-22-57, 1039.18, 972.33, 1034.75, 1043.95, 1041.28, 1039.18, 
2025-28-3--00-22-57, 1024.38, 982.74, 1030.60, 1032.21, 1027.76, 1024.38, 
2025-28-3--00-22-57, 1032.95, 992.78, 1031.54, 1032.65, 1031.91, 1032.95, 
2025-28-3--00-22-57, 1020.52, 998.33, 1027.13, 1025.37, 1022.80, 1020.52, 
2025-28-3--00-22-57, 1065.76, 1011.82, 1042.58, 1049.60, 1057.16, 1065.76, 
2025-28-3--00-22-57, 1056.41, 1020.73, 1048.11, 1053.68, 1056.56, 1056.41, 
2025-28-3--00-22-58, 1035.95, 1023.78, 1043.25, 1043.04, 1040.07, 1035.95, 
2025-28-3--00-22-58, 983.28, 1015.68, 1019.26, 1007.19, 994.64, 983.28, 
2025-28-3--00-22-58, 801.34, 972.81, 932.09, 883.68, 840.00, 801.34, 
2025-28-3--00-22-58, 939.50, 966.15, 935.06, 917.17, 919.60, 939.50, 
2025-28-3--00-22-58, 1105.21, 993.96, 1003.12, 1030.00, 1068.09, 1105.21, 
2025-28-3--00-22-58, 702.59, 935.69, 882.91, 833.55, 775.69, 702.59, 
2025-28-3--00-22-58, 1079.10, 964.37, 961.38, 980.88, 1018.42, 1079.10, 
2025-28-3--00-22-58, 1078.17, 987.13, 1008.10, 1039.25, 1066.22, 1078.17, 
2025-28-3--00-22-58, 1106.44, 1010.99, 1047.44, 1079.57, 1098.40, 1106.44, 
2025-28-3--00-22-58, 1058.76, 1020.55, 1051.97, 1067.08, 1066.69, 1058.76, 
2025-28-3--00-22-59, 1091.82, 1034.80, 1067.91, 1081.93, 1086.79, 1091.82, 
2025-28-3--00-22-59, 1068.38, 1041.52, 1068.10, 1073.80, 1072.06, 1068.38, 
2025-28-3--00-22-59, 950.57, 1023.33, 1021.09, 999.86, 974.87, 950.57, 
2025-28-3--00-22-59, 1076.89, 1034.04, 1043.41, 1046.08, 1056.49, 1076.89, 
2025-28-3--00-22-59, 1085.54, 1044.34, 1060.26, 1069.76, 1079.73, 1085.54, 
2025-28-3--00-22-59, 1065.76, 1048.62, 1062.46, 1067.36, 1068.55, 1065.76, 
2025-28-3--00-22-59, 725.69, 984.04, 927.75, 862.35, 794.26, 725.69, 
2025-28-3--00-22-59, 957.30, 978.69, 939.57, 919.32, 924.70, 957.30, 
2025-28-3--00-22-59, 246.90, 832.33, 662.50, 515.87, 382.46, 246.90, 
2025-28-3--00-22-59, 226.25, 711.11, 488.00, 342.10, 257.49, 226.25, 
2025-28-3--00-23-00, 224.43, 613.78, 382.57, 271.49, 231.04, 224.43, 
2025-28-3--00-23-00, 223.18, 535.66, 318.81, 242.51, 224.75, 223.18, 
2025-28-3--00-23-00, 215.72, 471.67, 277.58, 226.43, 217.52, 215.72, 
2025-28-3--00-23-00, 220.02, 421.34, 254.55, 222.58, 219.52, 220.02, 
2025-28-3--00-23-00, 200.47, 377.16, 232.92, 209.31, 204.28, 200.47, 
2025-28-3--00-23-00, 201.34, 342.00, 220.29, 204.53, 201.93, 201.34, 
2025-28-3--00-23-00, 196.89, 312.98, 210.93, 199.94, 197.89, 196.89, 
2025-28-3--00-23-00, 144.01, 279.18, 184.16, 166.38, 154.78, 144.01, 
2025-28-3--00-23-00, 177.11, 258.77, 181.34, 172.82, 172.65, 177.11, 
2025-28-3--00-23-01, 177.50, 242.52, 179.80, 175.63, 176.53, 177.50, 
2025-28-3--00-23-01, 162.65, 226.54, 172.94, 167.84, 165.43, 162.65, 
2025-28-3--00-23-01, 144.86, 210.21, 161.71, 154.05, 148.97, 144.86, 
2025-28-3--00-23-01, 160.12, 200.19, 161.07, 157.69, 157.89, 160.12, 
2025-28-3--00-23-01, 162.07, 192.57, 161.47, 160.32, 161.23, 162.07, 
2025-28-3--00-23-01, 153.72, 184.80, 158.37, 156.36, 155.23, 153.72, 
2025-28-3--00-23-01, 144.45, 176.73, 152.80, 149.22, 146.61, 144.45, 
2025-28-3--00-23-01, 144.05, 170.19, 149.30, 146.11, 144.56, 144.05, 
2025-28-3--00-23-01, 110.93, 158.34, 133.95, 125.00, 117.66, 110.93, 
2025-28-3--00-23-01, 137.33, 154.14, 135.30, 132.40, 133.40, 137.33, 
2025-28-3--00-23-02, 144.35, 152.18, 138.92, 139.57, 142.16, 144.35, 
2025-28-3--00-23-02, 142.41, 150.23, 140.32, 141.27, 142.36, 142.41, 
2025-28-3--00-23-02, 141.12, 148.40, 140.64, 141.18, 141.36, 141.12, 
